Poem Name,Poet,Line,Metaphor present or not,Count of the metaphor,Metaphorical terms
මහ ගසක්,අනුර ගුණතිලක,කරමු කළ යුතු වැඩක්,no,0,
මහ ගසක්,අනුර ගුණතිලක,කාලයට දෙමු ඉඩක්,no,0,
මහ ගසක්,අනුර ගුණතිලක,වැදෙන දිනයක මඩක්,no,0,
මහ ගසක්,අනුර ගුණතිලක,නිහඬ බව මහ හඬක්,yes,1,නිහඬ බව මහ හඬක්
සුර දේවතාවි,අනුර ගුණතිලක,දුක් ගින්දරෙන් දැවමිනේ මට මා සොයා දුන්,no,0,
සුර දේවතාවි,අනුර ගුණතිලක,ඒ වන් සෙනේ මවකගේ කරුණා දයාවෙන්,no,0,
සුර දේවතාවි,අනුර ගුණතිලක,මාගෙ හද දිවිතුරා නොමියේ සදාකල්,no,0,
සුර දේවතාවි,අනුර ගුණතිලක,පින්වන්ති ඈ සුරලොවේ සුර දේවතාවී,yes,1,පින්වන්ති ඈ සුරලොවේ සුර දේවතාවී
කඳුලක සතුට ,අනුර ගුණතිලක,හදවත ගැහෙනවා ගිඩි ගිඩි හඬ සද්දෙන්,no,0,
කඳුලක සතුට ,අනුර ගුණතිලක,යන මග බියකරුය රුදුරු ය වන මැද්දෙන්,no,0,
කඳුලක සතුට ,අනුර ගුණතිලක,හී සර වදන් පෙළ හද පතුලට විද්දෙන්,yes,1,හී සර වදන් පෙළ
කඳුලක සතුට ,අනුර ගුණතිලක,වෑහෙන රුහිරු මත සැනසුම ලැබ ගද්දෙන්,no,0,
කඳුලක සතුට ,අනුර ගුණතිලක,දිවයුරු දවනු මෙනි කුපිතව තද ගින්නෙන්,no,0,
කඳුලක සතුට ,අනුර ගුණතිලක,ඉවසා සැනසුණේ සිතුවිලි තෙත පින්නෙන්,no,0,
කඳුලක සතුට ,අනුර ගුණතිලක,කන්දක බර දරයි කඳු පාමුල තැන්නෙන්,no,0,
කඳුලක සතුට ,අනුර ගුණතිලක,වන්නෙමි පන්හිඳක් විදි හීයට දුන්නෙන්,yes,1,වන්නෙමි පන්හිඳක් විදි හීයට
උසාවියේදී,අනුර ගුණතිලක,දුක් වෙලා පලක් නැහැ වින්ඳෙ දුක් කන්දක් ය,no,0,
උසාවියේදී,අනුර ගුණතිලක,සිත් බිඳුණු හදනු බැහැ ආදරය ගින්නක් ය,yes,1,ආදරය ගින්නක් ය
උසාවියේදී,අනුර ගුණතිලක,හී තලය නැන්දණිය ඔබ සදිසි දුන්නක් ය,yes,1,ඔබ සදිසි දුන්නක් ය
උසාවියේදී,අනුර ගුණතිලක,මින් පෙරදි මා නොලද සුවබරම නින්දක් ය,no,0,
උසාවියේදී,අනුර ගුණතිලක,ඇරඹුමක වෙන්වීම මඟ සැදුවෙ විවාදය,no,0,
උසාවියේදී,අනුර ගුණතිලක,පසු තැවිලි වනු කුමට හේතුවකි පමාදය,no,0,
උසාවියේදී,අනුර ගුණතිලක,ගිනි ගොඩක මා දැවුණු බැඳුමකි ය කසාදය,yes,1,ගිනි ගොඩක මා දැවුණු බැඳුමකි ය කසාදය
උසාවියේදී,අනුර ගුණතිලක,දිනුවාය සිතුවාට ජීවිතය පරාද ය,no,0,
තඹරමලී,අනුර ගුණතිලක,සතුට සදන ම හද විලේ,no,0,
තඹරමලී,අනුර ගුණතිලක,පිපුණු සුවඳ කැකුළු මලේ,no,0,
තඹරමලී,අනුර ගුණතිලක,සඳුගෙ රුවට සමව දිලේ,no,0,
තඹරමලී,අනුර ගුණතිලක,පහන නුඹයි දුවණි පැලේ,yes,1,පහන නුඹයි දුවණි
පුතු,අනුර ගුණතිලක,සුරතලයට වගේ,no,0,
පුතු,අනුර ගුණතිලක,මුළු දවසෙම දඟේ,no,0,
පුතු,අනුර ගුණතිලක,වස්තුව මට අගේ,yes,1,වස්තුව මට අගේ
පුතු,අනුර ගුණතිලක,පුත නුඹ බව හැඟේ,no,0,
පුතු,අනුර ගුණතිලක,සතුටු කඳුළු නෙතේ,no,0,
පුතු,අනුර ගුණතිලක,රහසකි හදවතේ,no,0,
පුතු,අනුර ගුණතිලක,දරු සෙනෙහස සිතේ,no,0,
පුතු,අනුර ගුණතිලක,මහ බලයකි පුතේ,yes,1,මහ බලයකි පුතේ
කතිකාවක වග,අනුර ගුණතිලක,සොඳිනා පද උඩු යටිකර විස්තර කළ අරුමේ,no,0,
කතිකාවක වග,අනුර ගුණතිලක,ඇසෙනා සඳ ඇවැසිය මට චිත්තය මඟ හැරුමේ,no,0,
කතිකාවක වග,අනුර ගුණතිලක,මොනවා හරි දොඩවන එක පණ්ඩිතයගෙ උරුමේ,no,0,
කතිකාවක වග,අනුර ගුණතිලක,අසනා අය විඳිනා රස වින්දනයද කරුමේ,yes,1,විඳිනා රස වින්දනයද කරුමේ
කවිය නොමරමු,අනුර ගුණතිලක,රස ගුණ නසා බිලිදෙන බිය සැක නැතුව,no,0,
කවිය නොමරමු,අනුර ගුණතිලක,සරසවි මවත් විකුණයි ධනයට නතුව,no,0,
කවිය නොමරමු,අනුර ගුණතිලක,හැකිකම මරන බැරිකම බොරුවක එතුව,no,0,
කවිය නොමරමු,අනුර ගුණතිලක,මිණිකැට යටව ගොම රිටි ඇත උඩ මතුව,yes,1,මිණිකැට යටව ගොම රිටි ඇත උඩ මතුව
කවිය නොමරමු,අනුර ගුණතිලක,නොමැති ය ජාති කුල මල ආගම් කුලක ,no,0,
කවිය නොමරමු,අනුර ගුණතිලක,කවි සිත සදිසිම ය රැඳි සිසිලස දොළක,yes,1,කවි සිත සදිසිම ය රැඳි සිසිලස දොළක
කවිය නොමරමු,අනුර ගුණතිලක,නිරුවත දුටිමි රඟදෙන මඩ පිරි වළක,no,0,
කවිය නොමරමු,අනුර ගුණතිලක,දැකුමත් අපුල ගෙන දුනි වියෞව පිලක,no,0,
කලකිරීම,අනුර ගුණතිලක,ආදරය සුන්දරයි එය සොඳුරු කලාවක්,yes,1,ආදරය සුන්දරයි එය සොඳුරු කලාවක්
කලකිරීම,අනුර ගුණතිලක,ඒ නමුත් මා හමුවෙ අද එයද මුළාවක්,no,0,
කලකිරීම,අනුර ගුණතිලක,ජීවිතයෙ නැහැ එයට ඉඩක් යළි වෙලාවක්,no,0,
කලකිරීම,අනුර ගුණතිලක,ගිහි දිවිය ඇත්තටම වල් වැදුණු කැලෑවක්,yes,1,ගිහි දිවිය ඇත්තටම වල් වැදුණු කැලෑවක්
රිදුණු සිතක්,අනුර ගුණතිලක,ඔබේ පසු පස සදා රැඳුණෙමි පහන් තරුවක් වී,yes,1,පහන් තරුවක් වී
රිදුණු සිතක්,අනුර ගුණතිලක,බැඳී සිටියෙමි පිදූ සෙනෙහස තුළින් පවුරක් වී,yes,1,සෙනෙහස තුළින් පවුරක් වී
රිදුණු සිතක්,අනුර ගුණතිලක,හැමූ මඳ නල පවා නොසිතුව ලෙසින් සුළඟක් වී,no,0,
රිදුණු සිතක්,අනුර ගුණතිලක,තළා දැමුවෙ ය මගෙ හදවත මෙවන් විපතක් වී,no,0,
පුතුනි මගේ,අනුර ගුණතිලක,දිවියෙහි මඟ කියනු වගේ,no,0,
පුතුනි මගේ,අනුර ගුණතිලක,ඉගෙනුම සරු කෙතකි අගේ,yes,1,ඉගෙනුම සරු කෙතකි
පුතුනි මගේ,අනුර ගුණතිලක,නොකරම එය ළඟදි දඟේ,no,0,
පුතුනි මගේ,අනුර ගුණතිලක,ලොව ජය ගනු පුතුනි මගේ,no,0,
පුතුනි මගේ,අනුර ගුණතිලක,ලැබගෙන දෙවි රැකවරණේ,no,0,
පුතුනි මගේ,අනුර ගුණතිලක,නම සුරකිමු හෙළ දෙරණේ,no,0,
පුතුනි මගේ,අනුර ගුණතිලක,පුතු මට හිරු සඳු තරුනේ,yes,1,පුතු මට හිරු සඳු තරුනේ
පුතුනි මගේ,අනුර ගුණතිලක,පිහිටයි තිසරණ සරණේ,no,0,
කලා සේවය,මහේන් සූරී,රට දැය සමය වෙත නිති අභිමන් පාන,no,0,
කලා සේවය,මහේන් සූරී,පරසිත් විමසනා දස්කම් කරලාන,no,0,
කලා සේවය,මහේන් සූරී,සාහිත දැනුම හෙළයට නොඅඩුව ගේන,no,0,
කලා සේවය,මහේන් සූරී,පිණි බිඳු දමන කඩුවකි කවියගෙ පෑන,yes,1,කඩුවකි කවියගෙ පෑන
මවු මරා උපන් කුමරු,මහේන් සූරී,මගෙ සිත නිවේ බිහි වූ දින සිහි කෙරුම,no,0,
මවු මරා උපන් කුමරු,මහේන් සූරී,මදහස පෑව නුඹෙ අම්මා ගැන කියුම,no,0,
මවු මරා උපන් කුමරු,මහේන් සූරී,මනලොල් සුරඟනකි විහිදුන මුදු කැළුම,yes,1,සුරඟනකි විහිදුන මුදු කැළුම
මවු මරා උපන් කුමරු,මහේන් සූරී,මට තව සිහිනයකි ඇගෙ හුස්මක වැරැම,yes,1,සිහිනයකි ඇගෙ හුස්මක වැරැම
ගැහැණු හිත,මහේන් සූරී,පෙම් කල සියුම් තැණ්වල මනකල් පුරන,no,0,
ගැහැණු හිත,මහේන් සූරී,රසඳුන නුඹයි දිවිමංතලයෙහි සරන,yes,1,රසඳුන නුඹයි
ගැහැණු හිත,මහේන් සූරී,කරුණකි දිවා රැය සියලඟ කිති කවන,no,0,
ගැහැණු හිත,මහේන් සූරී,හැඩි දැඩි සිරුර ගිණි දල්වයි ඉසි වුවන,no,0,
ගැහැණු හිත,මහේන් සූරී,මතකය කීරි ගැහෙනව තවමත් හිතට,no,0,
ගැහැණු හිත,මහේන් සූරී,සිහිනය පසමිතුරු උණුහුම නැති රැයට,no,0,
ගැහැණු හිත,මහේන් සූරී,ලැබුනත් මෙවුන්දම් පෙම පිහිනා ළයට,no,0,
ගැහැණු හිත,මහේන් සූරී,ඔහු මට සෙල්මුවා පිළිමෙකි මගෙ ලොවට,yes,1,ඔහු මට සෙල්මුවා පිළිමෙකි
යථාර්තුක ලීලා,මහේන් සූරී,හමමින් මදනලේ මල්කෙමි පොකුරු සිප,no,0,
යථාර්තුක ලීලා,මහේන් සූරී,තැවරුණ දෙමට කුසුමකි ඇය සුවඳ ඔප,yes,1,දෙමට කුසුමකි ඇය
යථාර්තුක ලීලා,මහේන් සූරී,පුන්සඳ මඬල වැජඹෙන විට ඇයට කැප,no,0,
යථාර්තුක ලීලා,මහේන් සූරී,සාවිය රස විඳී ඇයගේ දැකුම් තෙප,no,0,
නූතනයේ සාම්ප්‍රදායික විරහව,මහේන් සූරී,ඇත්තයි ඔබේ සෙනෙහස එදවස රහය,no,0,
නූතනයේ සාම්ප්‍රදායික විරහව,මහේන් සූරී,ගන්නෙමි ඇඟිලි අමතන තුරු රෑ දහය,no,0,
නූතනයේ සාම්ප්‍රදායික විරහව,මහේන් සූරී,නොලදින් අපිට අපෙ වෙන්නට ඔබෙ සහය,no,0,
නූතනයේ සාම්ප්‍රදායික විරහව,මහේන් සූරී,පෙම්වත අදින් පසු ඔබ අඳුකොල වහය,yes,1,ඔබ අඳුකොල වහය
කවි සිතුවිලි,නිසංසලා පෙරේරා,නුඹ නිල් අහසක් වේ නම් ,yes,1,නුඹ නිල් අහසක්
කවි සිතුවිලි,නිසංසලා පෙරේරා,මම තනි තරුවක් වෙන්නම්,yes,1,මම තනි තරුවක්
කවි සිතුවිලි,නිසංසලා පෙරේරා,සඳ නැති කලුවර රැයකදි ,no,0,
කවි සිතුවිලි,නිසංසලා පෙරේරා,තනිය මකන්නම්,no,0,
කවි සිතුවිලි,නිසංසලා පෙරේරා,නුඹ මහ සයුරක් වේ නම් ,yes,1,නුඹ මහ සයුරක්
කවි සිතුවිලි,නිසංසලා පෙරේරා,වෙරලේ වැලි කැට වෙන්නම්,yes,1,වෙරලේ වැලි කැට වෙන්නම්
කවි සිතුවිලි,නිසංසලා පෙරේරා,දුක හිතෙනා හැන්ඳෑවක ,no,0,
කවි සිතුවිලි,නිසංසලා පෙරේරා,නුඹ සනසන්නම්,no,0,
ගංඟාවේ සංගීතය,එච්. එම්. කුඩලිගම,හිරිමල් සිනා රැළි පෙණ පිඬු මිහිරිතම,yes,1,සිනා රැළි පෙණ පිඬු
ගංඟාවේ සංගීතය,එච්. එම්. කුඩලිගම,ගල් පරවලම හැපි හැපි බිහි කරමි මම,no,0,
ගංඟාවේ සංගීතය,එච්. එම්. කුඩලිගම,සම තැනිතලාවල හමුවෙයි අලසකම,no,0,
ගංඟාවේ සංගීතය,එච්. එම්. කුඩලිගම,නිරසයි අතරමඟ අවහිර නුදුටු බිම,no,0,
මගේ සිත,එස් මහින්ද හිමි,සිත මගේ මල් විලෙකි එහෙයින් සිරි දේවි,yes,1,සිත මගේ මල් විලෙකි
මගේ සිත,එස් මහින්ද හිමි,නිතරම අරක් කොටගෙන එහි වොරැඳේවි,no,0,
මගේ සිත,එස් මහින්ද හිමි,මෙත පැන කුළුණු ගුණ මල් එහි පිබිදේවි,no,0,
මගේ සිත,එස් මහින්ද හිමි,ඉත පෙම් අමොද සුර සුවඳින් ගැවසේවි,no,0,
කවි කළබ,සයුරි ජයරත්න,දුක් වේදනා මැද ඇය ඉපදුණු හැටියේ,no,0,
කවි කළබ,සයුරි ජයරත්න,රන් ඵිළිරුවක් මෙනි මගෙ දෝතට වැඩියේ,no,0,
කවි කළබ,සයුරි ජයරත්න,ඇගෙ කෙළි කවට ගෙනදුනි සැනසුම දිවියේ,no,0,
කවි කළබ,සයුරි ජයරත්න,ඇය විය මිණිපහන මගෙ ජීවන සැරියේ,yes,1,ඇය විය මිණිපහන
සික්කා,නිම්න දෙනුවන්,පිපුනෙ ජීවිතේ මලක් වාගේ,no,0,
